size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,agent,episodes,wins,win_rate,win_rate_ci_low,win_rate_ci_high,avg_turns,std_turns,avg_damage_taken,avg_final_hp,avg_remaining_enemies,avg_remaining_enemies_on_losses,avg_chokepoints,avg_reachable_floor_fraction,avg_generated_enemy_count,avg_generated_obstacle_density,avg_interior_wall_density,avg_dead_end_count,avg_avg_enemy_attack_distance,avg_max_enemy_attack_distance
medium,arena,heavy,many,normal,high,many,default,heuristic,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,10.666666666666666,2.454021642574128,3.966666666666667,0.03333333333333333,2.2333333333333334,2.310344827586207,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,many,normal,high,many,default,mcts_medium,30,15,0.5,0.33153851227173764,0.6684614877282624,18.0,5.118593556827891,3.1333333333333333,0.8666666666666667,1.0666666666666667,2.1333333333333333,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,many,normal,high,many,default,mcts_small,30,12,0.4,0.24590394326083403,0.5767994750172616,16.7,5.298741989063694,3.433333333333333,0.5666666666666667,1.5,2.5,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,many,normal,high,many,default,random,30,0,0.0,0.0,0.113517091390478,13.4,3.2822756333576457,4.0,0.0,3.6,3.6,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,many,open,high,many,low,heuristic,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,9.366666666666667,2.8458546851321995,3.966666666666667,0.03333333333333333,2.8666666666666667,2.9655172413793105,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,many,open,high,many,low,mcts_medium,30,15,0.5,0.33153851227173764,0.6684614877282624,15.366666666666667,3.331499495555851,3.033333333333333,0.9666666666666667,1.4,2.8,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,many,open,high,many,low,mcts_small,30,10,0.3333333333333333,0.19230295526846194,0.5122027418616973,16.066666666666666,4.464178411408855,3.533333333333333,0.4666666666666667,1.9333333333333333,2.9,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,many,open,high,many,low,random,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,13.233333333333333,4.409711504798874,3.933333333333333,0.06666666666666667,3.6333333333333333,3.7586206896551726,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,normal,normal,high,normal,default,heuristic,30,3,0.1,0.034599259959716175,0.2562144131526662,11.033333333333333,2.774687169554234,3.9,0.1,2.033333333333333,2.259259259259259,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,normal,normal,high,normal,default,mcts_medium,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,17.7,6.293647591023825,3.066666666666667,0.9333333333333333,1.2333333333333334,2.642857142857143,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,normal,normal,high,normal,default,mcts_small,30,16,0.5333333333333333,0.3614201328152505,0.6976787277587178,16.566666666666666,5.238850594887733,3.066666666666667,0.9333333333333333,1.3666666666666667,2.9285714285714284,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,normal,normal,high,normal,default,random,30,0,0.0,0.0,0.113517091390478,12.733333333333333,2.606828639468954,4.0,0.0,3.7,3.7,3.4,0.9522019382465633,4.0,0.12000000000000002,0.12659932659932657,2.9,7.833333333333333,7.833333333333333
medium,arena,heavy,normal,open,high,normal,low,heuristic,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,9.633333333333333,2.9493878837631526,3.966666666666667,0.03333333333333333,2.8,2.896551724137931,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,normal,open,high,normal,low,mcts_medium,30,21,0.7,0.5212387898833981,0.8333543735604105,17.8,5.147167505855364,2.8666666666666667,1.1333333333333333,0.7333333333333333,2.4444444444444446,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,normal,open,high,normal,low,mcts_small,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,16.566666666666666,6.2699459505024615,3.2666666666666666,0.7333333333333333,1.7666666666666666,3.1176470588235294,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,heavy,normal,open,high,normal,low,random,30,0,0.0,0.0,0.113517091390478,12.966666666666667,3.371283962462307,4.0,0.0,3.7666666666666666,3.7666666666666666,1.0,0.9562960337153885,4.0,0.06000000000000001,0.07542087542087543,0.8666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,many,normal,medium_plus,many,default,heuristic,30,12,0.4,0.24590394326083403,0.5767994750172616,11.966666666666667,2.243261514452165,3.5,0.5,0.8333333333333334,1.3888888888888888,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,many,normal,medium_plus,many,default,mcts_medium,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,18.566666666666666,4.439844842133813,2.6666666666666665,1.3333333333333333,0.3333333333333333,2.0,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,many,normal,medium_plus,many,default,mcts_small,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878,18.3,3.446254004954752,2.9,1.1,0.4,1.7142857142857142,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,many,normal,medium_plus,many,default,random,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,14.533333333333333,4.19311605160437,3.966666666666667,0.03333333333333333,2.5,2.586206896551724,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,many,open,medium_plus,many,low,heuristic,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,11.933333333333334,2.434930982366623,3.433333333333333,0.5666666666666667,0.9,1.588235294117647,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,many,open,medium_plus,many,low,mcts_medium,30,26,0.8666666666666667,0.7031831605558306,0.9469043057578189,17.9,2.808914381037628,2.4,1.6,0.3,2.25,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,many,open,medium_plus,many,low,mcts_small,30,23,0.7666666666666667,0.5907132766967574,0.8820776078949878,18.966666666666665,4.861298409090129,2.9,1.1,0.4,1.7142857142857142,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,many,open,medium_plus,many,low,random,30,0,0.0,0.0,0.113517091390478,13.933333333333334,4.304519588628781,4.0,0.0,2.8,2.8,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,normal,normal,medium_plus,normal,default,heuristic,30,9,0.3,0.16664562643958933,0.4787612101166018,11.866666666666667,2.0773915267843845,3.6666666666666665,0.3333333333333333,0.9333333333333333,1.3333333333333333,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,normal,normal,medium_plus,normal,default,mcts_medium,30,25,0.8333333333333334,0.6643529481431982,0.9266356575964831,21.433333333333334,11.164477397332824,2.533333333333333,1.4666666666666666,0.26666666666666666,1.6,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,normal,normal,medium_plus,normal,default,mcts_small,30,18,0.6,0.42320052498273836,0.7540960567391659,18.4,5.6544967356373395,3.033333333333333,0.9666666666666667,0.8,2.0,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,normal,normal,medium_plus,normal,default,random,30,0,0.0,0.0,0.113517091390478,15.433333333333334,4.27927823613074,4.0,0.0,2.7333333333333334,2.7333333333333334,3.5,0.9637683119224699,3.0,0.12000000000000002,0.12659932659932657,2.8333333333333335,7.833333333333333,7.833333333333333
medium,arena,medium_plus,normal,open,medium_plus,normal,low,heuristic,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,11.6,2.739829678404602,3.7,0.3,1.2,1.6363636363636365,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,normal,open,medium_plus,normal,low,mcts_medium,30,29,0.9666666666666667,0.8332924860304112,0.9940915620051425,18.766666666666666,3.6302739413009713,2.033333333333333,1.9666666666666666,0.06666666666666667,2.0,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,normal,open,medium_plus,normal,low,mcts_small,30,17,0.5666666666666667,0.3919700954540873,0.7262276256938489,17.9,5.9461472119908585,3.066666666666667,0.9333333333333333,0.8333333333333334,1.9230769230769231,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,medium_plus,normal,open,medium_plus,normal,low,random,30,0,0.0,0.0,0.113517091390478,14.533333333333333,4.129030017920539,4.0,0.0,2.7333333333333334,2.7333333333333334,1.0666666666666667,0.9672220252865416,3.0,0.06000000000000001,0.07542087542087543,0.9666666666666667,7.933333333333334,7.933333333333334
medium,arena,normal,many,normal,default,many,default,heuristic,30,28,0.9333333333333333,0.7867618227892791,0.9815233646723066,10.866666666666667,1.521694961401777,2.566666666666667,1.4333333333333333,0.06666666666666667,1.0,3.4,0.9753346855983774,2.0,0.12000000000000002,0.12659932659932657,2.7666666666666666,7.833333333333333,7.833333333333333
