size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
small,arena,normal,normal,normal,default,normal,default,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,baseline,heavy,many,normal,default,many,default,1.3,1.25,1.55,2.8,4.6,10.75,9.8,13.45,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,arena,normal,normal,open,default,normal,low,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
medium,arena,light,few,open,low,few,low,1.65,1.0,1.7,2.8,6.85,15.9,16.0,20.4,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
medium,random_walk,light,normal,open,low,normal,low,1.2,1.25,1.7,2.4,10.55,22.95,19.7,26.95,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,arena,heavy,normal,normal,default,normal,default,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
medium,baseline,light,many,open,low,many,low,1.45,1.4,1.6,2.65,5.8,12.25,13.9,17.6,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,baseline,normal,many,normal,default,many,default,1.3,1.25,1.55,2.8,4.6,10.75,9.8,13.45,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
medium,arena,light,normal,open,low,normal,low,1.45,1.15,1.6,2.7,6.7,16.3,16.1,20.5,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,arena,heavy,normal,open,default,normal,low,1.65,0.95,1.65,2.8,4.85,10.6,11.6,13.55,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
small,baseline,light,many,normal,low,many,default,1.3,1.25,1.55,2.8,4.6,10.75,9.8,13.45,1.0,1.0,1.0,0.7,,0.0,0.0,0.0,0.10000000000000009,too easy
