size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,avg_damage_taken_heuristic,avg_damage_taken_mcts_medium,avg_damage_taken_mcts_small,avg_damage_taken_random,avg_turns_heuristic,avg_turns_mcts_medium,avg_turns_mcts_small,avg_turns_random,win_rate_heuristic,win_rate_mcts_medium,win_rate_mcts_small,win_rate_random,win_rate_mcts_strong,skill_gap_mcts_medium_vs_heuristic,skill_gap_mcts_small_vs_heuristic,search_gain_medium_vs_small,balance_score,balance_label
medium,random_walk,normal,normal,open,default,normal,low,2.3,2.3,2.3,3.7,15.45,36.7,29.25,27.85,0.95,0.95,1.0,0.15,,0.0,0.050000000000000044,-0.050000000000000044,0.46000000000000013,too easy
medium,arena,normal,normal,open,default,normal,low,2.75,2.15,2.45,3.85,10.65,19.6,18.15,17.15,0.95,0.95,1.0,0.15,,0.0,0.050000000000000044,-0.050000000000000044,0.46000000000000013,too easy
medium,arena,normal,few,open,default,few,low,2.85,2.35,2.35,3.85,10.7,17.85,19.7,16.9,0.95,0.95,1.0,0.15,,0.0,0.050000000000000044,-0.050000000000000044,0.46000000000000013,too easy
large,random_walk,light,normal,open,low,normal,low,2.4,2.1,2.2,4.0,17.3,43.4,33.05,32.65,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.45000000000000007,too easy
medium,arena,normal,few,normal,default,few,default,2.6,2.45,2.2,4.0,11.25,17.85,22.15,16.65,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.45000000000000007,too easy
medium,arena,normal,normal,normal,default,normal,default,2.35,1.9,2.15,3.8,10.95,20.2,17.6,15.9,1.0,0.95,1.0,0.05,,-0.050000000000000044,0.0,-0.050000000000000044,0.44500000000000006,too easy
large,random_walk,light,normal,normal,low,normal,default,2.5,2.5,2.3,3.85,20.5,52.9,41.0,41.25,1.0,0.9,0.95,0.1,,-0.09999999999999998,-0.050000000000000044,-0.04999999999999993,0.44000000000000006,mixed
medium,random_walk,normal,many,normal,default,many,default,2.55,2.3,2.2,3.8,14.85,35.3,29.85,29.95,0.95,0.95,1.0,0.2,,0.0,0.050000000000000044,-0.050000000000000044,0.43500000000000016,too easy
large,random_walk,light,many,open,low,many,low,1.85,2.35,1.85,3.85,16.9,40.65,31.25,32.35,1.0,0.95,0.9,0.1,,-0.050000000000000044,-0.09999999999999998,0.04999999999999993,0.4200000000000001,too easy
medium,random_walk,heavy,normal,open,high,normal,low,3.9,3.5,3.85,4.0,18.0,30.15,25.35,19.95,0.1,0.35,0.15,0.0,,0.24999999999999997,0.04999999999999999,0.19999999999999998,0.41999999999999993,too hard
medium,random_walk,normal,normal,normal,default,normal,default,2.6,2.35,2.45,3.75,14.95,35.35,30.4,29.9,0.95,1.0,1.0,0.2,,0.050000000000000044,0.050000000000000044,0.0,0.41500000000000015,too easy
medium,random_walk,normal,many,open,default,many,low,2.5,2.15,2.2,3.7,15.45,39.1,30.8,28.6,0.95,1.0,1.0,0.2,,0.050000000000000044,0.050000000000000044,0.0,0.41500000000000015,too easy
large,random_walk,light,few,normal,low,few,default,2.55,2.5,2.25,3.75,20.7,51.5,41.6,39.55,1.0,0.9,1.0,0.15,,-0.09999999999999998,0.0,-0.09999999999999998,0.41500000000000004,mixed
large,baseline,heavy,many,open,high,many,low,3.9,3.4,3.6,4.0,10.75,19.4,17.9,13.9,0.05,0.35,0.3,0.0,,0.3,0.25,0.04999999999999999,0.4149999999999999,too hard
medium,random_walk,heavy,normal,normal,high,normal,default,4.0,3.55,3.6,4.0,14.35,31.65,33.15,22.15,0.0,0.35,0.3,0.0,,0.35,0.3,0.04999999999999999,0.4099999999999999,too hard
large,random_walk,light,many,normal,low,many,default,1.95,2.25,1.9,3.9,20.25,45.45,38.95,40.15,1.0,1.0,1.0,0.1,,0.0,0.0,0.0,0.4000000000000001,too easy
medium,arena,normal,many,normal,default,many,default,2.55,2.0,2.4,3.85,11.15,19.65,17.25,17.45,1.0,1.0,1.0,0.15,,0.0,0.0,0.0,0.37500000000000006,too easy
large,arena,heavy,many,open,high,many,low,3.95,3.6,3.4,4.0,13.45,18.35,19.05,16.2,0.05,0.3,0.45,0.0,,0.25,0.4,-0.15000000000000002,0.33499999999999996,too hard
large,arena,heavy,many,normal,high,many,default,3.9,3.45,3.9,4.0,13.4,19.05,16.65,14.1,0.05,0.3,0.1,0.0,,0.25,0.05,0.19999999999999998,0.33499999999999996,too hard
large,baseline,heavy,normal,normal,high,normal,default,3.95,3.45,3.85,4.0,11.2,18.05,18.25,13.2,0.05,0.3,0.15,0.0,,0.25,0.09999999999999999,0.15,0.33499999999999996,too hard
large,arena,heavy,normal,open,high,normal,low,3.95,3.55,3.95,4.0,13.7,17.8,13.65,14.9,0.05,0.3,0.05,0.0,,0.25,0.0,0.25,0.33499999999999996,too hard
medium,arena,heavy,few,open,high,few,low,4.0,3.65,3.95,4.0,8.95,14.65,15.2,12.3,0.0,0.3,0.05,0.0,,0.3,0.05,0.25,0.33,too hard
medium,random_walk,normal,few,normal,default,few,default,2.4,2.6,2.2,3.65,14.85,37.9,30.85,30.1,1.0,1.0,1.0,0.3,,0.0,0.0,0.0,0.30000000000000004,too easy
large,random_walk,normal,few,normal,default,few,default,3.65,3.75,3.15,4.0,24.9,53.75,50.85,37.0,0.25,0.25,0.6,0.0,,0.0,0.35,-0.35,0.27499999999999997,too hard
medium,baseline,heavy,few,open,high,few,low,3.95,3.7,3.65,4.0,8.35,11.9,12.7,11.4,0.05,0.25,0.25,0.0,,0.2,0.2,0.0,0.25499999999999995,too hard
medium,baseline,heavy,few,normal,high,few,default,4.0,3.6,3.85,4.0,9.25,13.15,12.35,12.25,0.0,0.25,0.1,0.0,,0.25,0.1,0.15,0.24999999999999997,too hard
medium,random_walk,heavy,few,normal,high,few,default,4.0,3.65,3.75,4.0,14.3,28.65,29.25,20.95,0.0,0.25,0.15,0.0,,0.25,0.15,0.1,0.24999999999999997,too hard
medium,baseline,light,few,normal,low,few,default,1.4,1.25,1.9,3.05,6.1,12.25,13.7,17.05,1.0,1.0,1.0,0.45,,0.0,0.0,0.0,0.22500000000000006,too easy
medium,baseline,light,normal,normal,low,normal,default,1.25,1.25,1.7,3.15,6.05,12.9,14.8,18.65,1.0,1.0,1.0,0.45,,0.0,0.0,0.0,0.22500000000000006,too easy
medium,baseline,light,few,open,low,few,low,1.4,1.25,1.75,3.05,5.8,13.05,15.4,18.85,1.0,1.0,1.0,0.5,,0.0,0.0,0.0,0.20000000000000007,too easy
large,arena,light,few,normal,low,few,default,2.95,3.35,3.15,4.0,16.35,25.65,22.4,18.0,0.9,0.5,0.6,0.0,,-0.4,-0.30000000000000004,-0.09999999999999998,0.18,mixed
medium,random_walk,heavy,few,open,high,few,low,3.9,3.75,3.75,4.0,18.1,25.9,25.5,20.05,0.1,0.2,0.15,0.0,,0.1,0.04999999999999999,0.05000000000000002,0.17999999999999994,too hard
small,baseline,heavy,many,open,default,many,low,1.25,1.25,2.0,2.95,4.45,10.95,12.55,14.4,1.0,1.0,0.95,0.55,,0.0,-0.050000000000000044,0.050000000000000044,0.17500000000000004,too easy
small,random_walk,normal,many,normal,default,many,default,1.3,1.35,1.6,3.1,6.8,12.9,12.05,15.0,1.0,1.0,1.0,0.55,,0.0,0.0,0.0,0.17500000000000004,too easy
small,random_walk,light,many,normal,low,many,default,1.3,1.35,1.6,3.1,6.8,12.9,12.05,15.0,1.0,1.0,1.0,0.55,,0.0,0.0,0.0,0.17500000000000004,too easy
small,random_walk,heavy,few,normal,default,few,default,1.3,1.35,1.6,3.1,6.8,12.9,12.05,15.0,1.0,1.0,1.0,0.55,,0.0,0.0,0.0,0.17500000000000004,too easy
