variable,level,agent,n,wins,win_rate,win_rate_lo,win_rate_hi,mean_turns_won,mean_damage,mean_final_hp,is_default
enemy_hp,1,random,50,36,0.72,0.5833461285401034,0.8252598564231963,56.69444444444444,1.9,2.1,False
enemy_hp,1,heuristic,50,50,1.0,0.9286499658256813,1.0,24.16,0.0,4.0,False
enemy_hp,1,mcts,50,50,1.0,0.9286499658256813,1.0,50.14,0.1,3.9,False
enemy_hp,2,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
enemy_hp,2,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
enemy_hp,2,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
enemy_hp,3,random,50,5,0.1,0.04347512399157111,0.2136049033478839,62.8,3.58,0.42,False
enemy_hp,3,heuristic,50,7,0.14,0.06950745262022862,0.2618645719852809,52.42857142857143,3.44,0.56,False
enemy_hp,3,mcts,50,23,0.46,0.3296943460178263,0.5960136567161192,61.34782608695652,2.08,1.92,False
player_range,1,random,400,64,0.16,0.12733221459300603,0.19913638101477682,62.25,3.48,0.52,True
player_range,1,heuristic,400,400,1.0,0.9904873594003194,1.0,26.6,2.5,1.5,True
player_range,1,mcts,400,392,0.98,0.9610361296222221,0.9898317354020845,58.6530612244898,1.72,2.28,True
player_range,2,random,50,18,0.36,0.24138562967182875,0.49859237989698046,65.22222222222223,3.08,0.92,False
player_range,2,heuristic,50,50,1.0,0.9286499658256813,1.0,26.08,0.88,3.12,False
player_range,2,mcts,50,49,0.98,0.8950431352816304,0.9964608319110235,51.87755102040816,0.5,3.5,False
